Period,Nakamura,So,Caruana
 2019-Sep , 2745 , 2767 , 2812 
 2019-Aug , 2743 , 2776 , 2818 
 2019-Jul , 2754 , 2763 , 2819 
 2019-Jun , 2754 , 2754 , 2819 
 2019-May , 2761 , 2754 , 2816 
 2019-Apr , 2746 , 2762 , 2819 
 2019-Mar , 2746 , 2762 , 2828 
 2019-Feb , 2749 , 2765 , 2828 
 2019-Jan , 2749 , 2765 , 2828 
 2018-Dec , 2746 , 2765 , 2832 
 2018-Nov , 2746 , 2765 , 2832 
 2018-Oct , 2763 , 2776 , 2827 
 2018-Sep , 2763 , 2776 , 2827 
 2018-Aug , 2777 , 2780 , 2822 
 2018-Jul , 2777 , 2780 , 2822 
 2018-Jun , 2769 , 2778 , 2816 
 2018-May , 2769 , 2778 , 2822 
 2018-Apr , 2787 , 2786 , 2804 
 2018-Mar , 2787 , 2799 , 2784 
 2018-Feb , 2781 , 2799 , 2784 
 2018-Jan , 2781 , 2792 , 2811 
 2017-Dec , 2781 , 2788 , 2799 
 2017-Nov , 2780 , 2788 , 2799 
 2017-Oct , 2774 , 2788 , 2794 
 2017-Sep , 2781 , 2792 , 2799 
 2017-Aug , 2792 , 2810 , 2807 
 2017-Jul , 2792 , 2810 , 2807 
 2017-Jun , 2785 , 2812 , 2808 
 2017-May , 2786 , 2815 , 2802 
 2017-Apr , 2793 , 2822 , 2817 
 2017-Mar , 2793 , 2822 , 2817 
 2017-Feb , 2785 , 2822 , 2827 
 2017-Jan , 2785 , 2808 , 2827 
 2016-Dec , 2779 , 2794 , 2823 
 2016-Nov , 2779 , 2794 , 2823 
 2016-Oct , 2787 , 2794 , 2813 
 2016-Sep , 2789 , 2782 , 2808 
 2016-Aug , 2791 , 2771 , 2807 
 2016-Jul , 2787 , 2770 , 2810 
 2016-Jun , 2787 , 2770 , 2804 
 2016-May , 2787 , 2775 , 2804 
 2016-Apr , 2787 , 2773 , 2795 
 2016-Mar , 2790 , 2773 , 2794 
 2016-Feb , 2787 , 2773 , 2787 
 2016-Jan , 2787 , 2773 , 2787 
 2015-Dec , 2793 , 2775 , 2787 
 2015-Nov , 2793 , 2767 , 2787 
 2015-Oct , 2816 , 2760 , 2796 
 2015-Sep , 2814 , 2773 , 2808 
 2015-Aug , 2814 , 2779 , 2808 
 2015-Jul , 2814 , 2780 , 2797 
 2015-Jun , 2802 , 2778 , 2805 
 2015-May , 2799 , 2778 , 2803 
 2015-Apr , 2798 , 2788 , 2802 
 2015-Mar , 2798 , 2788 , 2802 
 2015-Feb , 2776 , 2788 , 2811 
 2015-Jan , 2776 , 2762 , 2820 
 2014-Dec , 2775 , 2762 , 2829 
 2014-Nov , 2767 , 2762 , 2839 
 2014-Oct , 2764 , 2755 , 2844 
 2014-Sep , 2782 , 2755 , 2801 
 2014-Aug , 2787 , 2755 , 2801 
 2014-Jul , 2787 , 2744 , 2789 
 2014-Jun , 2775 , 2744 , 2791 
 2014-May , 2772 , 2731 , 2783 
 2014-Apr , 2772 , 2738 , 2783 
 2014-Mar , 2772 , 2738 , 2783 
 2014-Feb , 2776 , 2738 , 2781 
 2014-Jan , 2789 , 2719 , 2782 
 2013-Dec , 2786 , 2719 , 2782 
 2013-Nov , 2786 , 2719 , 2782 
 2013-Oct , 2783 , 2706 , 2779 
 2013-Sep , 2772 , 2710 , 2779 
 2013-Aug , 2772 , 2710 , 2796 
 2013-Jul , 2775 , 2708 , 2796 
 2013-Jun , 2784 , 2705 , 2774 
 2013-May , 2775 , 2705 , 2774 
 2013-Apr , 2767 , 2701 , 2772 
 2013-Mar , 2767 , 2701 , 2760 
 2013-Feb , 2767 , 2684 , 2757 
 2013-Jan , 2769 , 2682 , 2781 
 2012-Dec , 2760 , 2682 , 2782 
 2012-Nov , 2755 , 2678 , 2786 
 2012-Oct , 2786 , 2677 , 2772 
 2012-Sep , 2783 , 2667 , 2773 
 2012-Aug , 2778 , 2652 , 2773 
 2012-Jul , 2778 , 2650 , 2775 
 2012-May , 2775 , 2653 , 2770 
 2012-Mar , 2771 , 2653 , 2767 
 2012-Jan , 2759 , 2653 , 2736 
 2011-Nov , 2758 , 2659 , 2727 
 2011-Sep , 2753 , 2655 , 2712 
 2011-Jul , 2770 , 2658 , 2711 
 2011-May , 2774 , 2667 , 2714 
 2011-Mar , 2774 , 2667 , 2716 
 2011-Jan , 2751 , 2673 , 2721 
 2010-Nov , 2741 , 2669 , 2709 
 2010-Sep , 2733 , 2668 , 2700 
 2010-Jul , 2729 , 2674 , 2697 
 2010-May , 2733 , 2665 , 2675 
 2010-Mar , 2735 , 2665 , 2680 
 2010-Jan , 2708 , 2656 , 2675 
 2009-Nov , 2715 , 2640 , 2652 
 2009-Sep , 2735 , 2644 , 2662 
 2009-Jul , 2710 , 2646 , 2670 
 2009-Apr , 2701 , 2641 , 2649 
 2009-Jan , 2699 , 2627 , 2646 
 2008-Oct , 2704 , 2610 , 2640 
 2008-Jul , 2697 , 2577 , 2630 
 2008-Apr , 2686 , 2540 , 2620 
 2008-Jan , 2670 , 2526 , 2598 
 2007-Oct , 2648 , 2531 , 2594 
 2007-Jul , 2647 , 2516 , 2549 
 2007-Apr , 2663 , 2519 , 2513 
 2007-Jan , 2651 , 2451 , 2492 
 2006-Oct , 2640 , 2411 , 2474 
 2006-Jul , 2632 , 2330 , 2444 
 2006-Apr , 2664 , 2254 , 2426 
 2006-Jan , 2644 , 2216 , 2409 
 2005-Oct , 2662 , 2216 , 2373 
 2005-Jul , 2660 , 2165 , 2381 
 2005-Apr , 2657 , 2165 , 2255 
 2005-Jan , 2613 , 2165 , 2219 
 2004-Oct , 2620 ,, 2196 
 2004-Jul , 2601 ,, 2169 
 2004-Apr , 2580 ,, 2140 
 2004-Jan , 2571 ,, 2122 
 2003-Oct , 2565 ,, 2137 
 2003-Jul , 2568 ,, 2160 
 2003-Apr , 2561 ,, 2165 
 2003-Jan , 2520 ,, 2134 
 2002-Oct , 2504 ,, 2102 
 2002-Jul , 2494 ,, 2040 
 2002-Apr , 2465 ,, 2026 
 2002-Jan , 2430 ,, 2032 
 2001-Oct , 2466 ,,
 2001-Jul , 2452 ,,
 2001-Apr , 2428 ,,
 2001-Jan , 2364 ,,
 2000-Oct , 2356 ,,
 2000-Jul , 2281 ,,
 2000-Jan , 2261 ,,
